"show_1","show_2","distance"
"Sword Art Online II","Death Note","0.707338597306085"
"Death Note","Sword Art Online II","0.707338597306085"
"Sword Art Online II","Attack on Titan","0.563848865252613"
"Attack on Titan","Sword Art Online II","0.563848865252613"
"Sword Art Online II","Soul Eater","0.74271877770957"
"Soul Eater","Sword Art Online II","0.74271877770957"
"Sword Art Online II","Elfen Lied","0.727167566376556"
"Elfen Lied","Sword Art Online II","0.727167566376556"
"Sword Art Online II","One Punch Man","0.556458349153315"
"One Punch Man","Sword Art Online II","0.556458349153315"
"Sword Art Online II","The Future Diary","0.597870363753305"
"The Future Diary","Sword Art Online II","0.597870363753305"
"Sword Art Online II","Fullmetal Alchemist","0.772331281217331"
"Fullmetal Alchemist","Sword Art Online II","0.772331281217331"
"Sword Art Online II","Gurren Lagann","0.729297239631951"
"Gurren Lagann","Sword Art Online II","0.729297239631951"
"Sword Art Online II","Angel Beats!","0.61975921108355"
"Angel Beats!","Sword Art Online II","0.61975921108355"
"Sword Art Online II","Code Geass: Lelouch of the Rebellion","0.699884316641877"
"Code Geass: Lelouch of the Rebellion","Sword Art Online II","0.699884316641877"
"Blue Exorcist","Akame ga Kill!","0.622936189201249"
"Akame ga Kill!","Blue Exorcist","0.622936189201249"
"Blue Exorcist","Sword Art Online","0.512847162076332"
"Sword Art Online","Blue Exorcist","0.512847162076332"
"Blue Exorcist","Noragami: Stray God","0.548398601897425"
"Noragami: Stray God","Blue Exorcist","0.548398601897425"
"Blue Exorcist","No Game, No Life","0.580677224835995"
"No Game, No Life","Blue Exorcist","0.580677224835995"
"Blue Exorcist","Code Geass: Lelouch of the Rebellion R2","0.633625533827826"
"Code Geass: Lelouch of the Rebellion R2","Blue Exorcist","0.633625533827826"
"Blue Exorcist","Death Note","0.609995884585486"
"Death Note","Blue Exorcist","0.609995884585486"
"Blue Exorcist","Attack on Titan","0.525217291857274"
"Attack on Titan","Blue Exorcist","0.525217291857274"
"Blue Exorcist","Soul Eater","0.612395929694727"
"Soul Eater","Blue Exorcist","0.612395929694727"
"Blue Exorcist","Elfen Lied","0.660929432013769"
"Elfen Lied","Blue Exorcist","0.660929432013769"
"Blue Exorcist","One Punch Man","0.595795913054796"
"One Punch Man","Blue Exorcist","0.595795913054796"
"Blue Exorcist","The Future Diary","0.562831973053504"
"The Future Diary","Blue Exorcist","0.562831973053504"
"Blue Exorcist","Fullmetal Alchemist","0.681297285269248"
"Fullmetal Alchemist","Blue Exorcist","0.681297285269248"
"Blue Exorcist","Gurren Lagann","0.687405159332322"
"Gurren Lagann","Blue Exorcist","0.687405159332322"
"Blue Exorcist","Angel Beats!","0.565477872604985"
"Angel Beats!","Blue Exorcist","0.565477872604985"
"Blue Exorcist","Code Geass: Lelouch of the Rebellion","0.624618942499737"
"Code Geass: Lelouch of the Rebellion","Blue Exorcist","0.624618942499737"
"Akame ga Kill!","Sword Art Online","0.568632435180478"
"Sword Art Online","Akame ga Kill!","0.568632435180478"
"Akame ga Kill!","Noragami: Stray God","0.546612328069282"
"Noragami: Stray God","Akame ga Kill!","0.546612328069282"
"Akame ga Kill!","No Game, No Life","0.49793524942187"
"No Game, No Life","Akame ga Kill!","0.49793524942187"
"Akame ga Kill!","Code Geass: Lelouch of the Rebellion R2","0.703001968503937"
"Code Geass: Lelouch of the Rebellion R2","Akame ga Kill!","0.703001968503937"
"Akame ga Kill!","Death Note","0.720757204746657"
"Death Note","Akame ga Kill!","0.720757204746657"
"Akame ga Kill!","Attack on Titan","0.576090386921669"
"Attack on Titan","Akame ga Kill!","0.576090386921669"
"Akame ga Kill!","Soul Eater","0.734292634278387"
"Soul Eater","Akame ga Kill!","0.734292634278387"
"Akame ga Kill!","Elfen Lied","0.728426539747294"
"Elfen Lied","Akame ga Kill!","0.728426539747294"
"Akame ga Kill!","One Punch Man","0.555625541295961"
"One Punch Man","Akame ga Kill!","0.555625541295961"
"Akame ga Kill!","The Future Diary","0.585764381108707"
"The Future Diary","Akame ga Kill!","0.585764381108707"
"Akame ga Kill!","Fullmetal Alchemist","0.781223955232766"
"Fullmetal Alchemist","Akame ga Kill!","0.781223955232766"
"Akame ga Kill!","Gurren Lagann","0.723948938531983"
"Gurren Lagann","Akame ga Kill!","0.723948938531983"
"Akame ga Kill!","Angel Beats!","0.636984615384615"
"Angel Beats!","Akame ga Kill!","0.636984615384615"
"Akame ga Kill!","Code Geass: Lelouch of the Rebellion","0.706665162963798"
"Code Geass: Lelouch of the Rebellion","Akame ga Kill!","0.706665162963798"
"Sword Art Online","Noragami: Stray God","0.527416722084517"
"Noragami: Stray God","Sword Art Online","0.527416722084517"
"Sword Art Online","No Game, No Life","0.442736403723665"
"No Game, No Life","Sword Art Online","0.442736403723665"
"Sword Art Online","Code Geass: Lelouch of the Rebellion R2","0.581601482297561"
"Code Geass: Lelouch of the Rebellion R2","Sword Art Online","0.581601482297561"
"Sword Art Online","Death Note","0.534979774324037"
"Death Note","Sword Art Online","0.534979774324037"
"Sword Art Online","Attack on Titan","0.378638663692258"
"Attack on Titan","Sword Art Online","0.378638663692258"
"Sword Art Online","Soul Eater","0.65062321264771"
"Soul Eater","Sword Art Online","0.65062321264771"
"Sword Art Online","Elfen Lied","0.600169779286927"
"Elfen Lied","Sword Art Online","0.600169779286927"
"Sword Art Online","One Punch Man","0.513623424156161"
"One Punch Man","Sword Art Online","0.513623424156161"
"Sword Art Online","The Future Diary","0.469023962594974"
"The Future Diary","Sword Art Online","0.469023962594974"
"Sword Art Online","Fullmetal Alchemist","0.670201535508637"
"Fullmetal Alchemist","Sword Art Online","0.670201535508637"
"Sword Art Online","Gurren Lagann","0.643756613756614"
"Gurren Lagann","Sword Art Online","0.643756613756614"
"Sword Art Online","Angel Beats!","0.450519323034745"
"Angel Beats!","Sword Art Online","0.450519323034745"
"Sword Art Online","Code Geass: Lelouch of the Rebellion","0.56352644356643"
"Code Geass: Lelouch of the Rebellion","Sword Art Online","0.56352644356643"
"Noragami: Stray God","No Game, No Life","0.483717055437746"
"No Game, No Life","Noragami: Stray God","0.483717055437746"
"Noragami: Stray God","Code Geass: Lelouch of the Rebellion R2","0.677705977382876"
"Code Geass: Lelouch of the Rebellion R2","Noragami: Stray God","0.677705977382876"
"Noragami: Stray God","Death Note","0.668013962888113"
